Timestamp,Motor 1 Angle,Motor 1 Speed,Motor 1 Current,Motor 2 Angle,Motor 2 Speed,Motor 2 Current,Roll,Pitch,Yaw,0
,,,,,,,,,,2023-11-21
16:15:37.548,-3.8,0.0,0.0,4.0,0.0,0.0,-0.3,6.7,-98.4,
16:15:37.657,-3.8,0.0,0.0,4.0,0.0,0.0,-0.3,6.7,-98.3,
16:15:37.717,-3.8,0.0,0.0,4.0,0.0,0.0,-0.3,6.7,-98.3,
16:15:37.814,-3.8,0.0,0.0,4.0,0.0,0.0,-0.3,6.7,-98.3,
16:15:37.870,-3.8,0.0,0.0,4.0,0.0,0.0,-0.3,6.7,-98.2,
16:15:37.916,-3.8,0.0,0.0,4.0,0.0,0.0,-0.3,6.7,-98.3,
16:15:37.964,-3.8,0.0,0.0,4.0,0.0,0.0,-0.3,6.7,-98.3,
16:15:38.025,-3.8,0.0,0.0,4.0,0.0,0.0,-0.3,6.7,-98.4,
16:15:38.071,-3.8,0.0,0.0,4.0,0.0,0.0,-0.3,6.7,-98.5,
16:15:38.119,-3.8,0.0,0.0,4.0,0.0,0.0,-0.3,6.7,-98.3,
16:15:38.165,-3.8,0.0,0.0,4.0,0.0,0.0,-0.3,6.7,-98.3,
16:15:38.366,-3.8,0.0,0.0,4.0,0.0,0.0,-0.3,6.7,-98.3,
16:15:38.419,-3.8,0.0,0.0,4.0,0.0,0.0,-0.3,6.7,-98.3,
16:15:38.480,-3.8,0.0,0.0,4.0,0.0,0.0,-0.3,6.7,-98.3,
16:15:38.589,-3.8,0.0,0.0,4.0,0.0,0.0,-0.3,6.7,-98.3,
16:15:38.648,-3.8,0.0,0.0,4.0,0.0,0.0,-0.3,6.7,-98.3,
16:15:38.694,-3.8,0.0,0.0,4.0,0.0,0.0,-0.3,6.7,-98.2,
16:15:38.748,-3.8,0.0,0.0,4.0,0.0,0.0,-0.3,6.7,-98.3,
