Cygnus version: 0.28.0.7,File version: 2021.11
Operative system: Windows
Record datetime: 2024-10-09 16:46:32.322
Device ID: STEEG_DG819202
Device verison: 
Device bandwidth: DC to 131 Hz
Device sampling rate: 1000 samples/second
Data type / unit: non-EEG / micro-volt (uV)
Bandpass filter: None
Notch filter: None
Timestamp,Serial Number,LGL,RGL,LTA,RTA,LBF,RBF,LRF,RRF,Event Id,Event Date,Event Duration,Software Marker,Software Marker Name
0.000,218784,-1654.61,-1536.68,2277.82,3608.24,-292.32,-2621.23,640.29,-1755.95,,,,,
0.001,218785,-1648.93,-1513.47,2279.59,3600.06,-299.35,-2628.65,655.22,-1766.91,,,,,
0.002,218786,-1646.37,-1497.5,2280.74,3597.35,-304.31,-2634.06,664.46,-1776.01,,,,,
0.003,218787,-1648.04,-1493.24,2281.03,3602.31,-306.12,-2636.3,665.08,-1782.15,,,,,
0.004,218788,-1652.32,-1500.8,2280.69,3612.43,-305.11,-2635.6,658.36,-1785.41,,,,,
0.005,218789,-1655.79,-1516.3,2280.29,3621.69,-302.76,-2633.22,649.08,-1786.76,,,,,
0.006,218790,-1655.31,-1533.73,2280.36,3623.78,-300.87,-2630.79,643.17,-1787.51,,,,,
0.007,218791,-1650.15,-1547.48,2281.08,3615.4,-300.57,-2629.47,644.85,-1788.6,,,,,
0.008,218792,-1642.72,-1554.3,2282.1,3598.07,-301.88,-2629.52,654.72,-1790.24,,,,,
0.009,218793,-1637.39,-1553.91,2282.82,3577.27,-303.73,-2630.36,669.58,-1792.02,,,,,
0.010,218794,-1638.1,-1548.26,2282.73,3559.7,-304.71,-2631.2,684.12,-1793.25,,,,,
0.011,218795,-1645.97,-1540.07,2281.79,3550.12,-303.87,-2631.54,693.37,-1793.41,,,,,
0.012,218796,-1658.3,-1531.49,2280.5,3549.45,-301.21,-2631.51,694.76,-1792.31,,,,,
0.013,218797,-1669.79,-1523.55,2279.66,3555.18,-297.7,-2631.65,688.82,-1790.0,,,,,
0.014,218798,-1675.28,-1516.46,2279.9,3563.42,-294.68,-2632.41,678.44,-1786.66,,,,,
0.015,218799,-1672.53,-1510.35,2281.31,3571.33,-293.23,-2633.73,667.13,-1782.52,,,,,
0.016,218800,-1663.6,-1505.74,2283.33,3578.34,-293.68,-2634.99,657.46,-1778.08,,,,,
0.017,218801,-1653.79,-1503.45,2285.03,3585.59,-295.55,-2635.31,650.4,-1774.22,,,,,
0.018,218802,-1648.73,-1504.08,2285.58,3594.11,-297.94,-2634.18,645.63,-1772.27,,,,,
0.019,218803,-1651.24,-1507.31,2284.74,3603.08,-299.97,-2631.83,642.53,-1773.5,,,,,
0.020,218804,-1659.67,-1511.75,2282.99,3609.58,-301.16,-2629.2,640.92,-1778.48,,,,,
0.021,218805,-1668.74,-1515.41,2281.3,3610.06,-301.45,-2627.52,641.18,-1786.49,,,,,
0.022,218806,-1672.58,-1516.6,2280.6,3602.9,-301.07,-2627.59,643.53,-1795.42,,,,,
0.023,218807,-1668.19,-1514.82,2281.27,3590.15,-300.27,-2629.34,647.25,-1802.5,,,,,
