Cygnus version: 0.28.0.7,File version: 2021.11
Operative system: Windows
Record datetime: 2024-10-09 16:11:19.153
Device ID: STEEG_DG819202
Device verison: 
Device bandwidth: DC to 131 Hz
Device sampling rate: 1000 samples/second
Data type / unit: non-EEG / micro-volt (uV)
Bandpass filter: None
Notch filter: None
Timestamp,Serial Number,LGL,RGL,LTA,RTA,LBF,RBF,LRF,RRF,Event Id,Event Date,Event Duration,Software Marker,Software Marker Name
0.000,333762,-3680.04,-1317.28,403.14,979.32,-747.4,-2417.79,2023.91,53.82,,,,,
0.001,333763,-3670.96,-1326.21,402.73,994.62,-743.2,-2415.29,2028.37,64.07,,,,,
0.002,333764,-3659.07,-1334.0,402.71,1006.24,-740.2,-2413.46,2032.2,72.26,,,,,
0.003,333765,-3644.52,-1340.31,403.21,1012.36,-739.26,-2412.73,2034.55,76.99,,,,,
0.004,333766,-3631.35,-1345.57,403.9,1013.9,-740.62,-2413.24,2034.4,77.97,,,,,
0.005,333767,-3625.73,-1350.05,404.22,1013.89,-743.87,-2414.77,2030.96,75.94,,,,,
0.006,333768,-3632.37,-1352.76,403.69,1015.78,-748.08,-2416.86,2024.24,72.23,,,,,
0.007,333769,-3651.26,-1351.24,402.19,1021.51,-752.09,-2418.99,2015.5,68.27,,,,,
0.008,333770,-3676.67,-1342.86,400.11,1030.43,-754.82,-2420.72,2007.12,65.1,,,,,
0.009,333771,-3699.28,-1327.07,398.17,1039.75,-755.6,-2421.74,2001.95,63.28,,,,,
0.010,333772,-3710.39,-1307.02,397.12,1046.12,-754.32,-2421.96,2002.15,62.95,,,,,
0.011,333773,-3706.03,-1289.18,397.35,1047.61,-751.49,-2421.41,2008.17,64.08,,,,,
0.012,333774,-3688.84,-1280.68,398.76,1044.92,-748.17,-2420.28,2018.28,66.55,,,,,
0.013,333775,-3666.67,-1285.39,400.85,1041.13,-745.58,-2418.84,2029.05,70.11,,,,,
0.014,333776,-3648.88,-1301.11,402.98,1040.07,-744.77,-2417.4,2036.61,74.26,,,,,
0.015,333777,-3642.06,-1319.78,404.67,1044.19,-746.18,-2416.26,2038.3,78.15,,,,,
0.016,333778,-3647.51,-1331.0,405.76,1053.05,-749.41,-2415.62,2033.75,80.73,,,,,
0.017,333779,-3661.35,-1327.46,406.36,1063.35,-753.27,-2415.48,2025.15,81.09,,,,,
0.018,333780,-3676.98,-1309.08,406.67,1070.55,-756.24,-2415.66,2016.18,78.83,,,,,
0.019,333781,-3688.38,-1283.68,406.81,1071.22,-757.05,-2415.89,2010.42,74.34,,,,,
0.020,333782,-3692.44,-1263.48,406.72,1065.01,-755.28,-2415.89,2009.72,68.74,,,,,
0.021,333783,-3689.57,-1259.06,406.25,1055.0,-751.58,-2415.49,2013.44,63.5,,,,,
0.022,333784,-3682.61,-1274.15,405.35,1046.32,-747.49,-2414.73,2018.94,59.9,,,,,
0.023,333785,-3675.08,-1303.88,404.1,1043.54,-744.73,-2413.82,2022.96,58.56,,,,,
0.024,333786,-3669.7,-1337.4,402.76,1048.31,-744.4,-2413.01,2023.31,59.29,,,,,
0.025,333787,-3667.83,-1363.29,401.62,1058.33,-746.42,-2412.46,2019.92,61.3,,,,,
0.026,333788,-3669.49,-1374.67,400.81,1068.35,-749.54,-2412.26,2014.78,63.61,,,,,
0.027,333789,-3673.7,-1371.33,400.31,1072.71,-751.92,-2412.36,2010.76,65.5,,,,,
0.028,333790,-3678.61,-1358.17,399.94,1068.16,-752.05,-2412.74,2010.12,66.79,,,,,
0.029,333791,-3681.8,-1341.3,399.57,1055.62,-749.5,-2413.44,2013.29,67.73,,,,,
0.030,333792,-3680.86,-1324.7,399.28,1039.84,-745.24,-2414.57,2018.78,68.77,,,,,
0.031,333793,-3674.62,-1309.29,399.32,1027.25,-741.16,-2416.25,2024.02,70.18,,,,,
0.032,333794,-3664.53,-1294.91,400.03,1022.87,-739.17,-2418.46,2026.82,71.9,,,,,
0.033,333795,-3655.17,-1283.18,401.51,1028.0,-740.3,-2420.97,2026.42,73.55,,,,,
0.034,333796,-3653.15,-1278.74,403.52,1039.61,-744.16,-2423.33,2023.77,74.61,,,,,
0.035,333797,-3664.27,-1287.5,405.44,1051.82,-749.14,-2425.07,2020.82,74.68,,,,,
0.036,333798,-3690.01,-1312.51,406.53,1058.78,-753.2,-2425.86,2019.25,73.67,,,,,
0.037,333799,-3725.22,-1350.16,406.24,1057.37,-754.79,-2425.7,2019.55,71.81,,,,,
0.038,333800,-3758.71,-1389.47,404.52,1048.66,-753.57,-2424.88,2020.78,69.51,,,,,
0.039,333801,-3777.11,-1415.89,401.87,1037.29,-750.46,-2423.88,2021.3,67.19,,,,,
0.040,333802,-3770.52,-1418.02,399.15,1029.25,-747.14,-2423.13,2019.84,65.16,,,,,
0.041,333803,-3737.52,-1393.66,397.21,1029.13,-745.19,-2422.81,2016.41,63.59,,,,,
0.042,333804,-3686.63,-1351.82,396.57,1038.1,-745.46,-2422.88,2012.34,62.59,,,,,
0.043,333805,-3633.4,-1308.87,397.21,1053.52,-747.73,-2423.08,2009.57,62.24,,,,,
0.044,333806,-3594.0,-1280.8,398.67,1070.25,-751.06,-2423.18,2009.58,62.63,,,,,
0.045,333807,-3578.45,-1275.55,400.32,1082.98,-754.21,-2423.08,2012.52,63.77,,,,,
0.046,333808,-3586.72,-1289.51,401.68,1088.35,-756.28,-2422.88,2017.17,65.52,,,,,
0.047,333809,-3609.53,-1310.27,402.59,1086.05,-756.92,-2422.74,2021.65,67.53,,,,,
0.048,333810,-3633.45,-1323.84,403.21,1078.55,-756.28,-2422.8,2024.46,69.28,,,,,
0.049,333811,-3647.57,-1322.39,403.83,1069.56,-754.78,-2423.04,2025.23,70.28,,,,,
0.050,333812,-3648.23,-1308.15,404.64,1062.26,-752.86,-2423.34,2024.75,70.25,,,,,
0.051,333813,-3639.64,-1291.32,405.56,1057.99,-750.87,-2423.57,2024.34,69.26,,,,,
0.052,333814,-3630.36,-1283.49,406.23,1056.07,-749.11,-2423.73,2024.89,67.79,,,,,
0.053,333815,-3627.76,-1290.57,406.18,1054.52,-747.88,-2424.0,2026.29,66.52,,,,,
0.054,333816,-3633.88,-1309.39,405.04,1051.52,-747.53,-2424.61,2027.53,66.01,,,,,
0.055,333817,-3644.72,-1329.8,402.76,1046.57,-748.25,-2425.7,2027.37,66.48,,,,,
0.056,333818,-3653.29,-1341.07,399.68,1041.0,-749.94,-2427.14,2025.17,67.62,,,,,
0.057,333819,-3654.33,-1338.41,396.47,1037.44,-752.12,-2428.55,2021.37,68.73,,,,,
0.058,333820,-3647.86,-1325.83,393.91,1038.56,-754.1,-2429.39,2017.24,69.05,,,,,
0.059,333821,-3639.41,-1313.61,392.71,1045.55,-755.27,-2429.29,2014.15,68.19,,,,,
0.060,333822,-3636.78,-1311.9,393.21,1057.21,-755.42,-2428.26,2012.85,66.39,,,,,
