Cygnus version: 0.28.0.7,File version: 2021.11
Operative system: Windows
Record datetime: 2024-10-09 16:54:18.255
Device ID: STEEG_DG819202
Device verison: 
Device bandwidth: DC to 131 Hz
Device sampling rate: 1000 samples/second
Data type / unit: non-EEG / micro-volt (uV)
Bandpass filter: None
Notch filter: None
Timestamp,Serial Number,LGL,RGL,LTA,RTA,LBF,RBF,LRF,RRF,Event Id,Event Date,Event Duration,Software Marker,Software Marker Name
0.000,684697,-1779.02,-1585.23,2303.35,2875.51,145.11,-3569.39,1350.63,-458.75,,,,,
0.001,684698,-1780.56,-1584.86,2317.13,2855.42,143.37,-3563.51,1349.71,-450.55,,,,,
0.002,684699,-1780.97,-1584.52,2328.33,2839.24,143.27,-3559.42,1352.97,-444.16,,,,,
0.003,684700,-1779.69,-1584.27,2335.07,2830.74,145.54,-3557.63,1362.61,-440.38,,,,,
0.004,684701,-1776.96,-1584.15,2336.78,2832.95,149.56,-3556.92,1377.71,-438.63,,,,,
0.005,684702,-1773.71,-1584.19,2334.57,2846.99,153.68,-3555.07,1394.22,-437.37,,,,,
0.006,684703,-1771.12,-1584.41,2331.2,2871.0,156.04,-3550.26,1406.45,-435.06,,,,,
0.007,684704,-1770.02,-1584.77,2330.41,2899.9,155.53,-3542.36,1409.4,-431.12,,,,,
0.008,684705,-1770.49,-1585.21,2335.82,2926.59,152.39,-3533.28,1401.1,-426.35,,,,,
0.009,684706,-1771.89,-1585.65,2349.47,2944.3,148.09,-3526.11,1383.84,-422.4,,,,,
0.010,684707,-1773.16,-1586.03,2370.66,2949.33,144.57,-3523.52,1363.62,-420.79,,,,,
0.011,684708,-1773.39,-1586.3,2395.49,2942.57,143.3,-3526.35,1347.75,-421.95,,,,,
0.012,684709,-1772.22,-1586.46,2417.63,2929.07,144.54,-3533.19,1341.82,-424.94,,,,,
0.013,684710,-1769.99,-1586.57,2430.2,2915.59,147.33,-3541.27,1347.3,-428.0,,,,,
0.014,684711,-1767.54,-1586.66,2428.17,2907.22,150.03,-3547.96,1361.11,-429.66,,,,,
0.015,684712,-1765.74,-1586.79,2410.43,2904.97,151.25,-3552.15,1377.51,-429.68,,,,,
0.016,684713,-1765.06,-1586.98,2380.61,2905.58,150.59,-3554.65,1391.22,-429.32,,,,,
0.017,684714,-1765.38,-1587.22,2346.12,2903.78,148.78,-3557.29,1400.1,-430.63,,,,,
0.018,684715,-1766.09,-1587.51,2315.66,2895.92,147.22,-3561.53,1405.88,-435.12,,,,,
0.019,684716,-1766.45,-1587.82,2296.19,2882.87,147.11,-3567.2,1412.34,-442.67,,,,,
0.020,684717,-1765.98,-1588.13,2290.54,2870.44,148.75,-3572.34,1422.04,-451.2,,,,,
0.021,684718,-1764.72,-1588.39,2296.78,2866.69,151.29,-3574.2,1433.66,-457.53,,,,,
0.022,684719,-1763.16,-1588.56,2309.5,2877.53,153.2,-3570.88,1441.63,-458.88,,,,,
0.023,684720,-1762.01,-1588.62,2322.48,2902.61,153.11,-3562.57,1438.87,-454.41,,,,,
0.024,684721,-1761.75,-1588.57,2331.36,2934.17,150.65,-3551.8,1421.03,-445.74,,,,,
0.025,684722,-1762.49,-1588.42,2335.25,2959.7,146.73,-3542.37,1390.05,-436.35,,,,,
0.026,684723,-1763.9,-1588.24,2336.46,2967.47,143.14,-3537.63,1354.59,-429.9,,,,,
0.027,684724,-1765.44,-1588.11,2338.73,2952.29,141.66,-3538.94,1326.68,-428.56,,,,,
0.028,684725,-1766.67,-1588.08,2344.93,2918.65,143.1,-3545.17,1316.01,-431.98,,,,,
0.029,684726,-1767.47,-1588.14,2355.44,2879.34,146.84,-3553.31,1324.86,-437.65,,,,,
0.030,684727,-1768.06,-1588.24,2368.05,2850.07,151.05,-3560.02,1346.52,-442.24,,,,,
0.031,684728,-1768.78,-1588.3,2379.15,2842.48,153.59,-3563.0,1368.3,-443.33,,,,,
0.032,684729,-1769.86,-1588.25,2385.54,2858.98,153.04,-3561.75,1377.86,-440.53,,,,,
0.033,684730,-1771.22,-1588.06,2385.8,2891.82,149.39,-3557.38,1369.57,-435.5,,,,,
0.034,684731,-1772.46,-1587.8,2380.46,2926.86,144.12,-3551.72,1347.5,-430.85,,,,,
0.035,684732,-1773.08,-1587.55,2371.24,2950.09,139.49,-3546.42,1323.39,-428.76,,,,,
0.036,684733,-1772.76,-1587.4,2359.84,2953.71,137.48,-3542.39,1310.65,-429.82,,,,,
0.037,684734,-1771.56,-1587.35,2347.27,2938.89,138.96,-3539.89,1317.44,-433.04,,,,,
0.038,684735,-1769.88,-1587.36,2334.1,2914.07,143.28,-3538.88,1342.6,-436.62,,,,,
0.039,684736,-1768.31,-1587.33,2321.27,2890.11,148.66,-3539.41,1376.39,-439.13,,,,,
0.040,684737,-1767.32,-1587.19,2310.84,2874.89,153.0,-3541.56,1405.56,-440.31,,,,,
0.041,684738,-1766.99,-1586.96,2305.73,2870.13,154.76,-3545.24,1419.87,-441.02,,,,,
0.042,684739,-1767.06,-1586.74,2308.49,2871.89,153.48,-3549.87,1416.71,-442.36,,,,,
0.043,684740,-1767.06,-1586.69,2319.52,2873.94,149.87,-3554.36,1401.4,-444.69,,,,,
0.044,684741,-1766.6,-1586.96,2336.0,2871.95,145.31,-3557.52,1383.51,-447.12,,,,,
0.045,684742,-1765.66,-1587.54,2352.33,2866.04,141.24,-3558.52,1371.35,-447.86,,,,,
0.046,684743,-1764.57,-1588.28,2362.18,2860.47,138.68,-3557.35,1367.96,-445.32,,,,,
0.047,684744,-1763.86,-1588.95,2361.36,2860.8,137.96,-3554.74,1370.41,-439.26,,,,,
0.048,684745,-1763.96,-1589.29,2349.88,2870.44,138.82,-3551.72,1372.54,-431.23,,,,,
0.049,684746,-1764.97,-1589.19,2332.23,2888.44,140.67,-3549.05,1369.22,-423.94,,,,,
0.050,684747,-1766.55,-1588.72,2315.37,2909.91,142.83,-3546.82,1359.4,-419.94,,,,,
0.051,684748,-1768.12,-1588.08,2305.53,2928.42,144.69,-3544.58,1346.51,-420.2,,,,,
0.052,684749,-1769.15,-1587.56,2305.35,2939.09,145.82,-3541.85,1336.06,-423.48,,,,,
0.053,684750,-1769.44,-1587.31,2312.9,2940.55,145.96,-3538.62,1332.26,-427.02,,,,,
0.054,684751,-1769.18,-1587.3,2322.98,2934.84,145.11,-3535.62,1335.77,-428.1,,,,,
0.055,684752,-1768.91,-1587.36,2330.06,2925.6,143.57,-3534.05,1343.7,-425.62,,,,,
0.056,684753,-1769.13,-1587.22,2331.05,2915.87,141.98,-3534.94,1351.71,-420.96,,,,,
0.057,684754,-1770.07,-1586.74,2326.65,2906.84,141.13,-3538.56,1356.72,-417.25,,,,,
0.058,684755,-1771.58,-1585.95,2320.45,2898.17,141.66,-3544.19,1358.39,-417.73,,,,,
0.059,684756,-1773.17,-1585.1,2316.6,2889.46,143.81,-3550.42,1358.7,-423.83,,,,,
0.060,684757,-1774.31,-1584.53,2317.34,2881.72,147.16,-3555.78,1360.16,-434.19,,,,,
0.061,684758,-1774.67,-1584.5,2322.04,2877.6,150.69,-3559.32,1363.78,-445.15,,,,,
0.062,684759,-1774.28,-1585.07,2327.97,2880.22,153.18,-3560.88,1368.45,-452.65,,,,,
0.063,684760,-1773.43,-1586.04,2332.38,2891.2,153.65,-3560.82,1371.79,-454.28,,,,,
0.064,684761,-1772.48,-1587.04,2334.37,2909.06,151.81,-3559.66,1371.91,-450.67,,,,,
0.065,684762,-1771.67,-1587.73,2335.41,2929.27,148.22,-3557.7,1368.81,-445.11,,,,,
0.066,684763,-1770.95,-1587.9,2338.09,2945.93,144.11,-3554.98,1364.35,-441.77,,,,,
0.067,684764,-1770.14,-1587.58,2344.08,2954.36,140.89,-3551.61,1360.99,-443.36,,,,,
0.068,684765,-1769.02,-1586.98,2352.45,2953.23,139.64,-3547.98,1360.14,-449.48,,,,,
0.069,684766,-1767.61,-1586.34,2359.81,2945.08,140.72,-3544.82,1361.33,-456.72,,,,,
0.070,684767,-1766.13,-1585.84,2362.13,2934.99,143.7,-3542.86,1362.86,-460.35,,,,,
0.071,684768,-1764.97,-1585.49,2357.3,2928.02,147.61,-3542.33,1363.24,-456.91,,,,,
0.072,684769,-1764.4,-1585.18,2346.96,2926.86,151.33,-3542.76,1362.62,-446.19,,,,,
0.073,684770,-1764.48,-1584.78,2336.17,2930.68,153.96,-3543.13,1362.73,-431.65,,,,,
0.074,684771,-1764.99,-1584.26,2331.14,2935.72,155.05,-3542.65,1365.54,-418.9,,,,,
0.075,684772,-1765.58,-1583.7,2335.97,2937.26,154.65,-3541.44,1371.26,-413.13,,,,,
0.076,684773,-1766.01,-1583.26,2350.31,2931.82,153.1,-3540.78,1377.26,-416.59,,,,,
0.077,684774,-1766.31,-1583.06,2369.16,2918.77,150.94,-3542.58,1378.85,-427.61,,,,,
0.078,684775,-1766.77,-1583.12,2385.04,2900.63,148.68,-3548.21,1371.7,-441.35,,,,,
0.079,684776,-1767.78,-1583.34,2391.42,2882.24,146.76,-3557.34,1354.6,-452.09,,,,,
0.080,684777,-1769.51,-1583.54,2385.47,2869.15,145.52,-3567.52,1330.72,-455.72,,,,,
0.081,684778,-1771.76,-1583.61,2368.95,2865.83,145.13,-3574.92,1306.54,-451.3,,,,,
0.082,684779,-1773.92,-1583.55,2346.86,2874.29,145.61,-3575.97,1288.79,-441.13,,,,,
0.083,684780,-1775.22,-1583.55,2324.86,2893.29,146.78,-3569.23,1281.18,-429.32,,,,,
0.084,684781,-1775.05,-1583.79,2306.91,2918.4,148.26,-3556.4,1282.93,-419.84,,,,,
0.085,684782,-1773.23,-1584.38,2294.57,2942.89,149.57,-3541.83,1289.96,-415.03,,,,,
0.086,684783,-1770.17,-1585.25,2287.73,2959.47,150.3,-3530.78,1298.12,-415.13,,,,,
0.087,684784,-1766.65,-1586.13,2286.3,2962.52,150.18,-3527.04,1306.32,-418.96,,,,,
0.088,684785,-1763.59,-1586.68,2291.2,2950.17,149.22,-3531.37,1317.4,-424.92,,,,,
