Cygnus version: 0.28.0.7,File version: 2021.11
Operative system: Windows
Record datetime: 2024-10-09 16:58:57.224
Device ID: STEEG_DG819202
Device verison: 
Device bandwidth: DC to 131 Hz
Device sampling rate: 1000 samples/second
Data type / unit: non-EEG / micro-volt (uV)
Bandpass filter: None
Notch filter: None
Timestamp,Serial Number,LGL,RGL,LTA,RTA,LBF,RBF,LRF,RRF,Event Id,Event Date,Event Duration,Software Marker,Software Marker Name
0.000,963647,-1431.5,-2884.89,3470.06,4502.89,547.35,-3688.89,993.27,-179.8,,,,,
0.001,963648,-1424.84,-2881.12,3470.24,4524.78,547.51,-3692.02,987.79,-170.85,,,,,
0.002,963649,-1420.39,-2878.19,3470.38,4541.94,547.5,-3692.16,985.4,-162.81,,,,,
0.003,963650,-1419.3,-2876.41,3470.43,4550.95,547.39,-3688.02,988.87,-156.54,,,,,
0.004,963651,-1421.13,-2875.4,3470.35,4550.56,547.6,-3680.87,999.87,-152.77,,,,,
0.005,963652,-1424.26,-2874.4,3470.12,4541.97,548.65,-3673.86,1018.01,-151.88,,,,,
0.006,963653,-1426.8,-2872.88,3469.76,4528.37,550.76,-3670.44,1040.01,-153.73,,,,,
0.007,963654,-1427.64,-2870.96,3469.35,4513.9,553.59,-3672.56,1060.12,-157.62,,,,,
0.008,963655,-1426.88,-2869.4,3469.04,4502.43,556.21,-3679.65,1071.91,-162.38,,,,,
0.009,963656,-1425.54,-2868.99,3468.98,4496.47,557.41,-3688.97,1070.89,-166.77,,,,,
0.010,963657,-1424.76,-2869.9,3469.27,4496.72,556.29,-3696.95,1056.84,-169.79,,,,,
0.011,963658,-1424.99,-2871.28,3469.87,4502.1,552.71,-3700.9,1034.37,-171.06,,,,,
0.012,963659,-1425.77,-2871.56,3470.64,4510.4,547.41,-3700.13,1011.2,-170.81,,,,,
0.013,963660,-1426.12,-2869.36,3471.34,4519.21,541.78,-3695.95,994.85,-169.73,,,,,
0.014,963661,-1425.35,-2864.58,3471.72,4526.6,537.33,-3690.79,989.27,-168.63,,,,,
0.015,963662,-1423.62,-2858.82,3471.61,4531.55,535.09,-3686.85,993.33,-168.16,,,,,
0.016,963663,-1422.03,-2854.99,3471.01,4534.01,535.29,-3685.13,1001.83,-168.62,,,,,
0.017,963664,-1421.9,-2855.93,3470.07,4534.56,537.41,-3685.27,1008.58,-169.98,,,,,
0.018,963665,-1423.94,-2862.86,3469.07,4534.09,540.45,-3686.1,1009.78,-171.97,,,,,
0.019,963666,-1427.6,-2874.43,3468.29,4533.54,543.37,-3686.5,1005.83,-174.23,,,,,
0.020,963667,-1431.28,-2886.94,3467.93,4533.68,545.38,-3686.04,1000.53,-176.37,,,,,
0.021,963668,-1433.1,-2895.81,3468.04,4535.05,546.14,-3685.09,998.37,-177.98,,,,,
0.022,963669,-1432.08,-2897.64,3468.52,4537.8,545.71,-3684.41,1001.54,-178.65,,,,,
0.023,963670,-1428.73,-2891.81,3469.19,4541.58,544.49,-3684.64,1008.55,-178.05,,,,,
0.024,963671,-1424.89,-2880.87,3469.87,4545.43,543.09,-3685.9,1015.3,-176.04,,,,,
0.025,963672,-1422.73,-2869.38,3470.44,4547.98,542.31,-3687.8,1017.93,-172.84,,,,,
0.026,963673,-1423.49,-2861.88,3470.88,4547.79,542.91,-3689.69,1015.51,-169.06,,,,,
0.027,963674,-1426.7,-2860.82,3471.21,4543.9,545.36,-3691.04,1010.93,-165.64,,,,,
0.028,963675,-1430.37,-2865.53,3471.47,4536.32,549.6,-3691.55,1009.1,-163.59,,,,,
0.029,963676,-1432.0,-2872.74,3471.68,4526.23,554.8,-3691.2,1013.63,-163.7,,,,,
0.030,963677,-1430.04,-2878.23,3471.81,4515.76,559.5,-3690.14,1024.01,-166.24,,,,,
0.031,963678,-1424.78,-2878.87,3471.86,4507.38,562.09,-3688.58,1035.23,-170.77,,,,,
0.032,963679,-1418.31,-2874.03,3471.85,4503.25,561.4,-3686.82,1040.36,-176.2,,,,,
