Cygnus version: 0.28.0.7,File version: 2021.11
Operative system: Windows
Record datetime: 2024-10-09 16:51:45.972
Device ID: STEEG_DG819202
Device verison: 
Device bandwidth: DC to 131 Hz
Device sampling rate: 1000 samples/second
Data type / unit: non-EEG / micro-volt (uV)
Bandpass filter: None
Notch filter: None
Timestamp,Serial Number,LGL,RGL,LTA,RTA,LBF,RBF,LRF,RRF,Event Id,Event Date,Event Duration,Software Marker,Software Marker Name
0.000,532397,-1490.77,-1493.59,1848.18,3739.13,-457.94,-3672.03,609.0,-769.53,,,,,
0.001,532398,-1494.91,-1467.93,1845.82,3710.75,-454.89,-3675.44,618.36,-773.29,,,,,
0.002,532399,-1497.2,-1455.15,1843.97,3693.2,-453.3,-3677.79,624.31,-775.39,,,,,
0.003,532400,-1496.75,-1462.66,1843.08,3692.6,-453.89,-3678.33,625.15,-775.01,,,,,
0.004,532401,-1493.97,-1489.3,1843.46,3707.84,-456.4,-3676.89,621.65,-772.62,,,,,
0.005,532402,-1490.09,-1525.87,1845.15,3731.45,-459.7,-3673.97,616.48,-769.65,,,,,
0.006,532403,-1486.34,-1558.97,1847.85,3753.36,-462.54,-3670.61,612.58,-767.74,,,,,
0.007,532404,-1483.18,-1576.47,1850.93,3765.6,-464.16,-3668.05,611.51,-767.85,,,,,
0.008,532405,-1480.42,-1572.28,1853.52,3765.71,-464.66,-3667.22,612.63,-769.76,,,,,
0.009,532406,-1477.86,-1548.41,1854.82,3757.29,-464.8,-3668.31,613.58,-772.23,,,,,
0.010,532407,-1475.99,-1513.76,1854.36,3747.61,-465.5,-3670.58,611.82,-773.65,,,,,
0.011,532408,-1476.18,-1480.29,1852.22,3743.6,-467.15,-3672.6,606.3,-772.94,,,,,
0.012,532409,-1479.8,-1458.38,1849.0,3748.4,-469.33,-3672.9,598.3,-770.07,,,,,
0.013,532410,-1486.96,-1453.2,1845.69,3760.07,-471.05,-3670.66,590.91,-766.07,,,,,
0.014,532411,-1495.62,-1463.49,1843.24,3772.91,-471.25,-3666.26,587.54,-762.54,,,,,
0.015,532412,-1502.06,-1482.79,1842.24,3780.57,-469.48,-3661.22,590.01,-760.82,,,,,
0.016,532413,-1502.68,-1502.38,1842.75,3779.22,-466.23,-3657.66,597.62,-761.5,,,,,
