Cygnus version: 0.28.0.7,File version: 2021.11
Operative system: Windows
Record datetime: 2024-09-06 16:40:53.895
Device ID: STEEG_DG819201
Device verison: 
Device bandwidth: DC to 131 Hz
Device sampling rate: 1000 samples/second
Data type / unit: non-EEG / micro-volt (uV)
Bandpass filter: None
Notch filter: None
Timestamp,Serial Number,LGAST,RGAST,LTA,RTA,LBFL,RBFL,LRF,RRF,Event Id,Event Date,Event Duration,Software Marker,Software Marker Name
0.000,2109669,-3151.69,-4187.2,9265.25,5401.03,-1409.72,2403.66,1520.19,6984.88,,,,,
0.001,2109670,-3155.4,-4185.34,9264.8,5399.79,-1410.14,2403.6,1520.01,6984.59,,,,,
0.002,2109671,-3159.54,-4188.86,9263.94,5398.1,-1410.37,2403.46,1519.86,6984.37,,,,,
0.003,2109672,-3164.04,-4200.34,9262.47,5395.84,-1410.28,2403.16,1519.75,6984.27,,,,,
0.004,2109673,-3168.19,-4218.12,9260.57,5393.34,-1409.87,2402.67,1519.71,6984.29,,,,,
0.005,2109674,-3170.79,-4236.75,9258.68,5391.25,-1409.24,2402.02,1519.73,6984.41,,,,,
0.006,2109675,-3170.77,-4249.29,9257.29,5390.21,-1408.56,2401.24,1519.81,6984.56,,,,,
0.007,2109676,-3167.81,-4250.4,9256.74,5390.52,-1408.01,2400.46,1519.94,6984.7,,,,,
0.008,2109677,-3162.62,-4238.9,9257.06,5391.92,-1407.69,2399.79,1520.11,6984.8,,,,,
0.009,2109678,-3156.88,-4218.45,9257.99,5393.75,-1407.62,2399.36,1520.32,6984.88,,,,,
0.010,2109679,-3152.59,-4196.09,9259.15,5395.26,-1407.76,2399.22,1520.54,6984.95,,,,,
0.011,2109680,-3151.28,-4179.26,9260.24,5396.01,-1408.0,2399.39,1520.75,6985.06,,,,,
0.012,2109681,-3153.33,-4172.53,9261.14,5396.05,-1408.24,2399.82,1520.96,6985.23,,,,,
0.013,2109682,-3157.76,-4175.76,9261.9,5395.89,-1408.45,2400.37,1521.17,6985.44,,,,,
0.014,2109683,-3162.67,-4184.5,9262.58,5396.12,-1408.65,2400.93,1521.42,6985.63,,,,,
0.015,2109684,-3166.05,-4192.46,9263.18,5397.06,-1408.87,2401.36,1521.74,6985.74,,,,,
0.016,2109685,-3166.72,-4194.85,9263.54,5398.45,-1409.16,2401.59,1522.15,6985.7,,,,,
0.017,2109686,-3164.83,-4190.91,9263.45,5399.57,-1409.52,2401.6,1522.6,6985.48,,,,,
0.018,2109687,-3161.78,-4184.25,9262.8,5399.55,-1409.89,2401.43,1523.0,6985.1,,,,,
0.019,2109688,-3159.49,-4180.89,9261.72,5397.8,-1410.16,2401.16,1523.23,6984.62,,,,,
0.020,2109689,-3159.37,-4185.92,9260.6,5394.38,-1410.22,2400.85,1523.19,6984.14,,,,,
0.021,2109690,-3161.52,-4200.57,9259.92,5390.02,-1410.0,2400.57,1522.83,6983.74,,,,,
0.022,2109691,-3164.49,-4221.24,9260.04,5385.87,-1409.51,2400.34,1522.2,6983.5,,,,,
0.023,2109692,-3166.0,-4240.95,9260.94,5382.97,-1408.82,2400.16,1521.44,6983.45,,,,,
0.024,2109693,-3164.06,-4252.62,9262.22,5381.92,-1408.09,2400.01,1520.73,6983.55,,,,,
0.025,2109694,-3158.27,-4252.3,9263.25,5382.64,-1407.48,2399.86,1520.24,6983.73,,,,,
0.026,2109695,-3150.43,-4240.89,9263.43,5384.59,-1407.13,2399.68,1520.05,6983.92,,,,,
0.027,2109696,-3144.03,-4223.4,9262.55,5387.08,-1407.11,2399.48,1520.16,6984.04,,,,,
0.028,2109697,-3142.86,-4206.31,9260.92,5389.6,-1407.4,2399.31,1520.47,6984.07,,,,,
0.029,2109698,-3149.08,-4194.56,9259.24,5392.03,-1407.93,2399.2,1520.89,6984.01,,,,,
0.030,2109699,-3161.8,-4189.64,9258.34,5394.46,-1408.56,2399.21,1521.31,6983.87,,,,,
0.031,2109700,-3176.85,-4189.75,9258.73,5396.99,-1409.15,2399.37,1521.69,6983.69,,,,,
0.032,2109701,-3188.17,-4191.64,9260.39,5399.41,-1409.61,2399.68,1522.03,6983.48,,,,,
0.033,2109702,-3190.31,-4192.89,9262.71,5401.2,-1409.85,2400.07,1522.32,6983.22,,,,,
0.034,2109703,-3181.07,-4193.24,9264.77,5401.71,-1409.86,2400.48,1522.54,6982.91,,,,,
0.035,2109704,-3163.01,-4194.32,9265.72,5400.48,-1409.67,2400.82,1522.62,6982.54,,,,,
