Cygnus version: 0.28.0.7,File version: 2021.11
Operative system: Windows
Record datetime: 2024-10-09 16:22:13.950
Device ID: STEEG_DG819202
Device verison: 
Device bandwidth: DC to 131 Hz
Device sampling rate: 1000 samples/second
Data type / unit: non-EEG / micro-volt (uV)
Bandpass filter: None
Notch filter: None
Timestamp,Serial Number,LGL,RGL,LTA,RTA,LBF,RBF,LRF,RRF,Event Id,Event Date,Event Duration,Software Marker,Software Marker Name
0.000,988523,-2676.31,-2405.9,353.16,1219.24,-472.92,-2187.61,330.0,-491.47,,,,,
0.001,988524,-2673.49,-2384.36,356.37,1198.1,-473.66,-2186.05,331.91,-470.88,,,,,
0.002,988525,-2670.87,-2370.48,359.44,1179.03,-474.24,-2186.5,334.34,-462.29,,,,,
0.003,988526,-2668.67,-2368.87,362.14,1163.92,-474.53,-2189.72,337.18,-470.2,,,,,
0.004,988527,-2667.12,-2379.37,364.21,1154.04,-474.43,-2194.73,339.54,-488.72,,,,,
0.005,988528,-2666.33,-2397.43,365.52,1149.67,-473.91,-2199.39,340.24,-505.16,,,,,
0.006,988529,-2666.22,-2416.34,366.27,1149.73,-472.91,-2201.67,338.57,-507.87,,,,,
0.007,988530,-2666.48,-2430.05,367.1,1152.04,-471.42,-2200.87,335.02,-493.67,,,,,
0.008,988531,-2666.66,-2435.41,368.81,1154.1,-469.56,-2198.09,331.17,-470.18,,,,,
0.009,988532,-2666.45,-2432.81,371.97,1154.25,-467.63,-2195.56,328.98,-451.28,,,,,
0.010,988533,-2665.83,-2425.17,376.53,1152.47,-466.16,-2195.26,329.68,-448.24,,,,,
0.011,988534,-2665.13,-2416.04,381.67,1150.55,-465.72,-2197.67,332.95,-461.75,,,,,
0.012,988535,-2664.97,-2407.94,386.1,1151.16,-466.73,-2201.28,336.97,-479.77,,,,,
0.013,988536,-2665.84,-2401.74,388.7,1156.53,-469.23,-2203.39,339.29,-483.2,,,,,
0.014,988537,-2667.87,-2397.19,389.18,1167.19,-472.77,-2201.58,338.27,-456.53,,,,,
0.015,988538,-2670.63,-2394.1,388.3,1181.61,-476.55,-2195.24,334.05,-397.93,,,,,
0.016,988539,-2673.23,-2393.22,387.68,1196.66,-479.75,-2186.09,328.68,-322.81,,,,,
0.017,988540,-2674.73,-2396.13,388.92,1208.82,-481.86,-2177.6,325.14,-258.46,,,,,
0.018,988541,-2674.53,-2404.18,392.75,1215.28,-482.84,-2173.34,325.77,-231.92,,,,,
0.019,988542,-2672.71,-2416.98,398.46,1214.39,-483.03,-2175.33,330.98,-257.23,,,,,
0.020,988543,-2669.99,-2431.65,403.96,1205.62,-482.84,-2183.1,338.88,-328.46,,,,,
0.021,988544,-2667.46,-2443.26,406.68,1189.27,-482.5,-2193.92,346.15,-422.11,,,,,
0.022,988545,-2666.04,-2446.67,404.65,1166.47,-481.9,-2204.16,349.64,-507.75,,,,,
0.023,988546,-2666.13,-2438.86,397.51,1139.71,-480.75,-2210.84,347.88,-561.37,,,,,
0.024,988547,-2667.44,-2420.7,386.77,1113.32,-478.96,-2212.83,341.75,-574.82,,,,,
0.025,988548,-2669.15,-2397.09,375.36,1093.33,-476.87,-2210.94,333.93,-557.03,,,,,
0.026,988549,-2670.33,-2375.28,366.48,1086.04,-475.28,-2207.17,327.48,-526.96,,,,,
0.027,988550,-2670.37,-2362.08,362.44,1095.59,-475.08,-2203.52,324.4,-502.75,,,,,
0.028,988551,-2669.21,-2361.13,363.87,1121.53,-476.73,-2201.07,324.82,-492.82,,,,,
0.029,988552,-2667.32,-2371.47,369.6,1157.87,-479.87,-2199.72,327.26,-493.54,,,,,
0.030,988553,-2665.42,-2388.13,377.31,1194.52,-483.32,-2198.7,329.73,-493.94,,,,,
0.031,988554,-2664.19,-2404.33,384.42,1220.89,-485.59,-2197.23,330.88,-484.13,,,,,
0.032,988555,-2663.94,-2414.31,389.03,1230.24,-485.62,-2195.15,330.69,-462.36,,,,,
0.033,988556,-2664.56,-2415.51,390.36,1222.54,-483.35,-2192.91,330.24,-436.59,,,,,
0.034,988557,-2665.67,-2409.2,388.78,1204.39,-479.85,-2191.26,330.79,-420.0,,,,,
0.035,988558,-2666.78,-2399.4,385.44,1185.78,-476.73,-2190.72,332.9,-423.25,,,,,
0.036,988559,-2667.52,-2390.87,381.74,1175.16,-475.32,-2191.29,335.96,-447.96,,,,,
0.037,988560,-2667.75,-2386.98,378.91,1175.44,-475.88,-2192.55,338.59,-485.28,,,,,
0.038,988561,-2667.54,-2388.61,377.72,1182.92,-477.4,-2194.01,339.5,-520.15,,,,,
0.039,988562,-2667.15,-2394.26,378.41,1189.72,-478.11,-2195.44,338.26,-538.86,,,,,
0.040,988563,-2666.87,-2401.2,380.68,1188.36,-476.53,-2196.93,335.59,-535.77,,,,,
0.041,988564,-2666.99,-2406.89,383.85,1176.07,-472.31,-2198.68,332.86,-515.58,,,,,
0.042,988565,-2667.69,-2409.99,387.0,1156.42,-466.61,-2200.63,331.26,-490.3,,,,,
0.043,988566,-2668.98,-2410.6,389.26,1137.46,-461.58,-2202.26,331.05,-472.79,,,,,
0.044,988567,-2670.66,-2409.76,390.09,1127.45,-459.27,-2202.79,331.47,-470.39,,,,,
0.045,988568,-2672.32,-2408.63,389.48,1130.61,-460.56,-2201.63,331.29,-482.05,,,,,
0.046,988569,-2673.47,-2407.95,388.05,1145.08,-464.62,-2198.83,329.59,-499.86,,,,,
0.047,988570,-2673.66,-2407.77,386.76,1164.25,-469.3,-2195.24,326.46,-513.85,,,,,
0.048,988571,-2672.73,-2407.79,386.52,1180.37,-472.18,-2192.24,322.87,-517.17,,,,,
0.049,988572,-2670.98,-2407.7,387.66,1188.5,-471.83,-2191.09,320.09,-508.91,,,,,
0.050,988573,-2669.09,-2407.49,389.69,1188.4,-468.55,-2192.24,318.84,-493.63,,,,,
0.051,988574,-2667.96,-2407.44,391.43,1183.77,-464.18,-2195.14,318.87,-478.27,,,,,
0.052,988575,-2668.35,-2407.85,391.47,1179.31,-461.19,-2198.4,319.13,-468.54,,,,,
0.053,988576,-2670.48,-2408.76,388.9,1177.73,-461.4,-2200.56,318.62,-466.67,,,,,
0.054,988577,-2673.9,-2409.85,383.91,1178.46,-465.09,-2200.72,317.1,-471.33,,,,,
0.055,988578,-2677.58,-2410.54,377.91,1178.66,-470.89,-2199.02,315.48,-479.15,,,,,
0.056,988579,-2680.24,-2410.25,373.12,1175.71,-476.46,-2196.38,315.3,-486.56,,,,,
0.057,988580,-2680.88,-2408.7,371.7,1169.42,-479.69,-2193.96,317.72,-491.0,,,,,
0.058,988581,-2679.14,-2406.11,374.81,1162.42,-479.62,-2192.51,322.61,-491.1,,,,,
0.059,988582,-2675.47,-2403.07,381.99,1158.51,-476.86,-2191.94,328.3,-486.39,,,,,
0.060,988583,-2670.91,-2400.44,391.18,1159.96,-473.17,-2191.51,332.31,-477.23,,,,,
0.061,988584,-2666.73,-2399.03,399.35,1165.71,-470.55,-2190.32,332.61,-465.05,,,,,
0.062,988585,-2663.92,-2399.39,403.66,1171.7,-470.35,-2187.98,328.79,-452.73,,,,,
0.063,988586,-2662.88,-2401.63,402.46,1173.18,-472.74,-2184.87,322.39,-444.14,,,,,
0.064,988587,-2663.41,-2405.42,396.0,1167.88,-476.77,-2182.03,316.14,-442.77,,,,,
0.065,988588,-2664.87,-2409.94,386.3,1157.79,-480.88,-2180.59,312.63,-449.92,,,,,
0.066,988589,-2666.55,-2414.16,376.49,1148.54,-483.63,-2181.12,312.93,-463.49,,,,,
0.067,988590,-2667.97,-2417.03,369.65,1146.44,-484.15,-2183.33,316.19,-478.51,,,,,
0.068,988591,-2668.95,-2417.85,367.77,1154.9,-482.42,-2186.11,320.27,-489.54,,,,,
0.069,988592,-2669.59,-2416.57,371.12,1172.14,-479.06,-2188.14,323.1,-493.67,,,,,
0.070,988593,-2670.04,-2413.81,378.37,1191.67,-475.13,-2188.49,323.91,-492.54,,,,,
0.071,988594,-2670.37,-2410.75,387.15,1205.32,-471.75,-2187.13,323.68,-491.63,,,,,
0.072,988595,-2670.5,-2408.62,395.04,1207.13,-469.89,-2184.92,324.44,-496.97,,,,,
0.073,988596,-2670.25,-2408.2,400.37,1196.25,-470.17,-2183.22,327.96,-510.74,,,,,
0.074,988597,-2669.54,-2409.5,402.75,1177.14,-472.71,-2183.16,334.52,-528.43,,,,,
0.075,988598,-2668.44,-2411.73,402.89,1157.44,-477.05,-2185.15,342.55,-539.6,,,,,
0.076,988599,-2667.25,-2413.68,402.15,1144.52,-482.23,-2188.6,349.37,-532.51,,,,,
0.077,988600,-2666.32,-2414.32,401.82,1142.61,-487.02,-2192.22,352.46,-500.63,,,,,
0.078,988601,-2665.95,-2413.31,402.62,1151.75,-490.29,-2194.53,350.7,-447.54,,,,,
0.079,988602,-2666.21,-2411.18,404.52,1168.63,-491.48,-2194.55,344.72,-387.46,,,,,
0.080,988603,-2666.95,-2409.06,406.98,1188.42,-490.78,-2192.21,336.32,-340.45,,,,,
0.081,988604,-2667.89,-2408.1,409.27,1206.49,-489.07,-2188.4,327.4,-324.06,,,,,
0.082,988605,-2668.76,-2408.9,410.85,1219.28,-487.54,-2184.62,319.1,-345.61,,,,,
0.083,988606,-2669.43,-2411.19,411.48,1224.44,-487.04,-2182.33,311.67,-398.61,,,,,
0.084,988607,-2669.91,-2413.96,411.04,1220.82,-487.71,-2182.38,305.12,-465.35,,,,,
