Cygnus version: 0.28.0.7,File version: 2021.11
Operative system: Windows
Record datetime: 2024-09-06 16:35:17.611
Device ID: STEEG_DG819201
Device verison: 
Device bandwidth: DC to 131 Hz
Device sampling rate: 1000 samples/second
Data type / unit: non-EEG / micro-volt (uV)
Bandpass filter: None
Notch filter: None
Timestamp,Serial Number,LGAST,RGAST,LTA,RTA,LBFL,RBFL,LRF,RRF,Event Id,Event Date,Event Duration,Software Marker,Software Marker Name
0.000,1773369,-2630.0,-3901.41,9408.65,5348.06,-1611.34,2079.47,1397.03,6795.29,,,,,
0.001,1773370,-2631.09,-3879.42,9409.46,5356.1,-1612.02,2079.29,1396.66,6794.71,,,,,
0.002,1773371,-2630.85,-3853.26,9410.26,5361.77,-1612.75,2079.22,1396.51,6794.03,,,,,
0.003,1773372,-2628.77,-3821.47,9410.99,5363.59,-1613.56,2079.34,1396.7,6793.23,,,,,
0.004,1773373,-2625.55,-3786.7,9411.55,5361.51,-1614.47,2079.68,1397.17,6792.33,,,,,
0.005,1773374,-2622.69,-3754.98,9411.78,5356.82,-1615.44,2080.23,1397.73,6791.47,,,,,
0.006,1773375,-2621.7,-3733.35,9411.54,5351.53,-1616.42,2080.89,1398.14,6790.79,,,,,
0.007,1773376,-2623.22,-3726.79,9410.73,5347.5,-1617.3,2081.54,1398.22,6790.42,,,,,
0.008,1773377,-2626.71,-3735.95,9409.39,5345.78,-1617.98,2082.04,1397.97,6790.4,,,,,
0.009,1773378,-2630.73,-3756.58,9407.68,5346.3,-1618.37,2082.28,1397.51,6790.68,,,,,
0.010,1773379,-2633.75,-3780.99,9405.9,5348.15,-1618.45,2082.23,1397.03,6791.12,,,,,
0.011,1773380,-2634.87,-3800.81,9404.4,5350.13,-1618.25,2081.95,1396.69,6791.56,,,,,
0.012,1773381,-2634.23,-3809.82,9403.49,5351.38,-1617.87,2081.55,1396.56,6791.87,,,,,
0.013,1773382,-2632.74,-3805.9,9403.33,5351.69,-1617.43,2081.21,1396.58,6792.01,,,,,
0.014,1773383,-2631.53,-3791.36,9403.92,5351.51,-1617.02,2081.05,1396.63,6791.99,,,,,
0.015,1773384,-2631.37,-3771.77,9405.07,5351.58,-1616.74,2081.12,1396.62,6791.91,,,,,
0.016,1773385,-2632.36,-3753.97,9406.46,5352.48,-1616.63,2081.4,1396.52,6791.84,,,,,
